"DATASET","NLME_RESULT_ID","NLME_CURVE_ID","CELL_LINE_NAME","SANGER_MODEL_ID","CANCER_TYPE","DRUG_ID","DRUG_NAME","PUTATIVE_TARGET","PATHWAY_NAME","MIN_CONC","MAX_CONC","LN_IC50","AUC","RMSE","Z_SCORE","MAPK_flag","MAPK_status"
"GDSC2",343,15951267,"GB-1","SIDM00581","Glioblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.84456,0.978078,0.038377,1.709184,NA,"Non-MAPK"
"GDSC2",343,15951550,"T98G","SIDM01171","Glioblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.445813,0.979597,0.014933,0.799352,NA,"Non-MAPK"
"GDSC2",343,15951830,"U-118-MG","SIDM01193","Glioma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.411905,0.954567,0.060697,0.777297,NA,"Non-MAPK"
"GDSC2",343,15952091,"U-87-MG","SIDM01189","Glioblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.419365,0.941772,0.074181,0.131688,"MAPK","MAPK"
"GDSC2",343,15952715,"NCI-H720","SIDM01120","Other Solid Cancers",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.69193,0.970426,0.040276,0.308981,NA,"Non-MAPK"
"GDSC2",343,15952994,"Calu-3","SIDM00922","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.668594,0.971291,0.049204,1.594725,NA,"Non-MAPK"
"GDSC2",343,15953274,"COR-L23","SIDM00512","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.380876,0.964178,0.100877,0.757114,"MAPK","MAPK"
"GDSC2",343,15953556,"LK-2","SIDM00548","Squamous Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.603491,0.974211,0.027556,0.901916,"MAPK","MAPK"
"GDSC2",343,15954016,"NCI-H1623","SIDM00747","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.21683,0.96533,0.043073,0.650408,NA,"Non-MAPK"
"GDSC2",343,15954186,"NCI-H1648","SIDM00746","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,-0.347912,0.769862,0.17241,-1.668319,NA,"Non-MAPK"
"GDSC2",343,15954466,"NCI-H1650","SIDM00745","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,5.228488,0.977302,0.066187,1.958914,NA,"Non-MAPK"
